raw_data,_snowflake_loaded_at
"{""id"": 70001, ""ticket_id"": 1001, ""reply_time_in_minutes"": {""calendar"": 75, ""business"": 75}, ""first_resolution_time_in_minutes"": {""calendar"": 240, ""business"": 120}, ""full_resolution_time_in_minutes"": {""calendar"": 240, ""business"": 120}, ""agent_wait_time_in_minutes"": {""calendar"": 150, ""business"": 150}, ""requester_wait_time_in_minutes"": {""calendar"": 75, ""business"": 75}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 2, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-01T08:10:00Z"", ""initially_assigned_at"": ""2026-06-01T08:10:00Z"", ""solved_at"": ""2026-06-01T12:00:00Z"", ""latest_comment_added_at"": ""2026-06-01T09:15:00Z"", ""updated_at"": ""2026-06-01T12:00:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70002, ""ticket_id"": 1002, ""reply_time_in_minutes"": {""calendar"": 35, ""business"": 35}, ""first_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""full_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""agent_wait_time_in_minutes"": {""calendar"": 70, ""business"": 70}, ""requester_wait_time_in_minutes"": {""calendar"": 35, ""business"": 35}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 1, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-02T09:40:00Z"", ""initially_assigned_at"": ""2026-06-02T09:40:00Z"", ""solved_at"": null, ""latest_comment_added_at"": ""2026-06-02T09:30:00Z"", ""updated_at"": ""2026-06-02T15:00:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70003, ""ticket_id"": 1003, ""reply_time_in_minutes"": {""calendar"": 1320, ""business"": 480}, ""first_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""full_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""agent_wait_time_in_minutes"": {""calendar"": 2640, ""business"": 960}, ""requester_wait_time_in_minutes"": {""calendar"": 1320, ""business"": 480}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 1, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-03T11:10:00Z"", ""initially_assigned_at"": ""2026-06-03T11:10:00Z"", ""solved_at"": null, ""latest_comment_added_at"": ""2026-06-03T11:00:00Z"", ""updated_at"": ""2026-06-04T09:00:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70004, ""ticket_id"": 1004, ""reply_time_in_minutes"": {""calendar"": 30, ""business"": 30}, ""first_resolution_time_in_minutes"": {""calendar"": 635, ""business"": 300}, ""full_resolution_time_in_minutes"": {""calendar"": 635, ""business"": 300}, ""agent_wait_time_in_minutes"": {""calendar"": 60, ""business"": 60}, ""requester_wait_time_in_minutes"": {""calendar"": 30, ""business"": 30}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 1, ""replies"": 1, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-05T08:00:00Z"", ""initially_assigned_at"": ""2026-06-05T08:00:00Z"", ""solved_at"": ""2026-06-05T18:20:00Z"", ""latest_comment_added_at"": ""2026-06-05T07:45:00Z"", ""updated_at"": ""2026-06-05T18:20:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70005, ""ticket_id"": 1005, ""reply_time_in_minutes"": {""calendar"": 90, ""business"": 90}, ""first_resolution_time_in_minutes"": {""calendar"": 2880, ""business"": 960}, ""full_resolution_time_in_minutes"": {""calendar"": 2880, ""business"": 960}, ""agent_wait_time_in_minutes"": {""calendar"": 180, ""business"": 180}, ""requester_wait_time_in_minutes"": {""calendar"": 90, ""business"": 90}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 3, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-06T10:10:00Z"", ""initially_assigned_at"": ""2026-06-06T10:10:00Z"", ""solved_at"": ""2026-06-08T16:00:00Z"", ""latest_comment_added_at"": ""2026-06-08T16:00:00Z"", ""updated_at"": ""2026-06-08T16:00:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70006, ""ticket_id"": 1006, ""reply_time_in_minutes"": {""calendar"": 1200, ""business"": 420}, ""first_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""full_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""agent_wait_time_in_minutes"": {""calendar"": 2400, ""business"": 840}, ""requester_wait_time_in_minutes"": {""calendar"": 1200, ""business"": 420}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 1, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-10T14:10:00Z"", ""initially_assigned_at"": ""2026-06-10T14:10:00Z"", ""solved_at"": null, ""latest_comment_added_at"": ""2026-06-10T14:00:00Z"", ""updated_at"": ""2026-06-11T10:00:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70007, ""ticket_id"": 1007, ""reply_time_in_minutes"": {""calendar"": 90, ""business"": 90}, ""first_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""full_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""agent_wait_time_in_minutes"": {""calendar"": 180, ""business"": 180}, ""requester_wait_time_in_minutes"": {""calendar"": 90, ""business"": 90}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 2, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-12T08:10:00Z"", ""initially_assigned_at"": ""2026-06-12T08:10:00Z"", ""solved_at"": null, ""latest_comment_added_at"": ""2026-06-12T08:00:00Z"", ""updated_at"": ""2026-06-13T09:30:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70008, ""ticket_id"": 1008, ""reply_time_in_minutes"": {""calendar"": 25, ""business"": 25}, ""first_resolution_time_in_minutes"": {""calendar"": 230, ""business"": 180}, ""full_resolution_time_in_minutes"": {""calendar"": 230, ""business"": 180}, ""agent_wait_time_in_minutes"": {""calendar"": 50, ""business"": 50}, ""requester_wait_time_in_minutes"": {""calendar"": 25, ""business"": 25}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 2, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-15T09:20:00Z"", ""initially_assigned_at"": ""2026-06-15T09:20:00Z"", ""solved_at"": ""2026-06-15T13:00:00Z"", ""latest_comment_added_at"": ""2026-06-15T09:10:00Z"", ""updated_at"": ""2026-06-15T13:00:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70009, ""ticket_id"": 1009, ""reply_time_in_minutes"": {""calendar"": 20, ""business"": 20}, ""first_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""full_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""agent_wait_time_in_minutes"": {""calendar"": 40, ""business"": 40}, ""requester_wait_time_in_minutes"": {""calendar"": 20, ""business"": 20}, ""on_hold_time_in_minutes"": {""calendar"": 60, ""business"": 60}, ""reopens"": 1, ""replies"": 3, ""assignee_stations"": 2, ""group_stations"": 2, ""assigned_at"": ""2026-06-16T07:25:00Z"", ""initially_assigned_at"": ""2026-06-16T07:25:00Z"", ""solved_at"": null, ""latest_comment_added_at"": ""2026-06-16T07:20:00Z"", ""updated_at"": ""2026-06-16T18:45:00Z""}",2026-06-23 09:00:00.000
"{""id"": 70010, ""ticket_id"": 1010, ""reply_time_in_minutes"": {""calendar"": 55, ""business"": 55}, ""first_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""full_resolution_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""agent_wait_time_in_minutes"": {""calendar"": 110, ""business"": 110}, ""requester_wait_time_in_minutes"": {""calendar"": 55, ""business"": 55}, ""on_hold_time_in_minutes"": {""calendar"": 0, ""business"": 0}, ""reopens"": 0, ""replies"": 2, ""assignee_stations"": 1, ""group_stations"": 1, ""assigned_at"": ""2026-06-17T10:20:00Z"", ""initially_assigned_at"": ""2026-06-17T10:20:00Z"", ""solved_at"": null, ""latest_comment_added_at"": ""2026-06-17T10:05:00Z"", ""updated_at"": ""2026-06-18T12:15:00Z""}",2026-06-23 09:00:00.000
